class,rdf2vec_tag
insect,<http://dbpedia.org/resource/Scopula_laevipennis>
amphibian,<http://dbpedia.org/resource/Oreophrynella_huberi>
fish,<http://dbpedia.org/resource/Phreatobius_dracunculus>
fish,<http://dbpedia.org/resource/Auchenoglanis>
reptile,<http://dbpedia.org/resource/Naturelle_leaf_chameleon>
invertebrate,<http://dbpedia.org/resource/Hyptiotes_dentatus>
mammal,<http://dbpedia.org/resource/Oecomys_sydandersoni>
fish,<http://dbpedia.org/resource/Auriglobus>
mammal,<http://dbpedia.org/resource/Phascolarctidae>
amphibian,<http://dbpedia.org/resource/Rana_megapoda>
fish,<http://dbpedia.org/resource/Lamprologus_finalimus>
reptile,<http://dbpedia.org/resource/Liotyphlops>
insect,<http://dbpedia.org/resource/Revertuncaria_spathula>
insect,<http://dbpedia.org/resource/Stenoptilia_transversata>
amphibian,<http://dbpedia.org/resource/Zhang's_horned_toad>
fish,<http://dbpedia.org/resource/Leafy_seadragon>
fish,<http://dbpedia.org/resource/Synodontis_petricola>
insect,<http://dbpedia.org/resource/Aloeides_barbarae>
fish,<http://dbpedia.org/resource/Common_shovelnose_ray>
invertebrate,<http://dbpedia.org/resource/Anthenea>
fish,<http://dbpedia.org/resource/Aspidoras_fuscoguttatus>
bird,<http://dbpedia.org/resource/Buckley's_forest_falcon>
invertebrate,<http://dbpedia.org/resource/Etheriidae>
fish,<http://dbpedia.org/resource/Egg-carrying_buntingi>
bird,<http://dbpedia.org/resource/Paddyfield_pipit>
mammal,<http://dbpedia.org/resource/Coastal_sheath-tailed_bat>
insect,<http://dbpedia.org/resource/Incudifera>
fish,<http://dbpedia.org/resource/Anostomus_anostomus>
amphibian,<http://dbpedia.org/resource/Gastrotheca>
insect,<http://dbpedia.org/resource/Zeuzeropecten>
reptile,<http://dbpedia.org/resource/Ameiva_plei>
reptile,<http://dbpedia.org/resource/Dwarf_anole>
bird,<http://dbpedia.org/resource/Rhynchospiza>
insect,<http://dbpedia.org/resource/Glyphipterix_rhanteria>
invertebrate,<http://dbpedia.org/resource/Nototeredo>
invertebrate,<http://dbpedia.org/resource/Niphargus_timavi>
insect,<http://dbpedia.org/resource/Macroprotus>
fish,<http://dbpedia.org/resource/Otolithes_ruber>
fish,<http://dbpedia.org/resource/Barbus_tyberinus>
mammal,<http://dbpedia.org/resource/Dinagat_hairy-tailed_rat>
fish,<http://dbpedia.org/resource/Big-scale_sand_smelt>
bird,<http://dbpedia.org/resource/Bavaripsitta>
fish,<http://dbpedia.org/resource/Günther's_pipehorse>
mammal,<http://dbpedia.org/resource/Mongalla_free-tailed_bat>
fish,<http://dbpedia.org/resource/Rasboroides_pallidus>
mammal,<http://dbpedia.org/resource/Delicate_mouse>
bird,<http://dbpedia.org/resource/Yellow-eyed_pigeon>
bird,<http://dbpedia.org/resource/Rubeho_akalat>
mammal,<http://dbpedia.org/resource/Painted_bat>
bird,<http://dbpedia.org/resource/São_Tomé_paradise_flycatcher>
insect,<http://dbpedia.org/resource/Choreutis_cyanotoxa>
reptile,<http://dbpedia.org/resource/Common_brown_water_snake>
bird,<http://dbpedia.org/resource/Rodrigues_rail>
insect,<http://dbpedia.org/resource/Elleschodes>
mammal,<http://dbpedia.org/resource/Surdisorex>
mammal,<http://dbpedia.org/resource/Leporidae>
insect,<http://dbpedia.org/resource/Eudryas_grata>
invertebrate,<http://dbpedia.org/resource/Enoplometopus_occidentalis>
insect,<http://dbpedia.org/resource/Brachionycha_borealis>
fish,<http://dbpedia.org/resource/Ptycholepiformes>
invertebrate,<http://dbpedia.org/resource/Antigrella>
fish,<http://dbpedia.org/resource/Garra_imberba>
amphibian,<http://dbpedia.org/resource/Imienpo_Station_frog>
bird,<http://dbpedia.org/resource/Geronticus>
fish,<http://dbpedia.org/resource/Paranguilla>
mammal,<http://dbpedia.org/resource/Galidictis>
fish,<http://dbpedia.org/resource/Honeycomb_grouper>
fish,<http://dbpedia.org/resource/Argentine_anchoita>
insect,<http://dbpedia.org/resource/Dolerothera>
mammal,<http://dbpedia.org/resource/Mexican_shrew>
insect,<http://dbpedia.org/resource/Nacaduba_angusta>
fish,<http://dbpedia.org/resource/Apocryptodon>
bird,<http://dbpedia.org/resource/Nava's_wren>
fish,<http://dbpedia.org/resource/Hammerhead_shark>
invertebrate,<http://dbpedia.org/resource/Ciliopagurus_shebae>
amphibian,<http://dbpedia.org/resource/Jamaican_laughing_frog>
fish,<http://dbpedia.org/resource/Astroblepus_grixalvii>
insect,<http://dbpedia.org/resource/Hypodoxa_muscosaria>
invertebrate,<http://dbpedia.org/resource/Arcinella>
insect,<http://dbpedia.org/resource/Coeliades>
insect,<http://dbpedia.org/resource/Pseudaletis_agrippina>
mammal,<http://dbpedia.org/resource/Anita's_leaf-eared_mouse>
insect,<http://dbpedia.org/resource/Microlita>
invertebrate,<http://dbpedia.org/resource/Hadronyche_versuta>
amphibian,<http://dbpedia.org/resource/Chiasmocleis_schubarti>
mammal,<http://dbpedia.org/resource/Melonycteris>
bird,<http://dbpedia.org/resource/Great_Nicobar_serpent_eagle>
invertebrate,<http://dbpedia.org/resource/Alabama_lamp_naiad>
insect,<http://dbpedia.org/resource/Stenoglene_dehanicus>
amphibian,<http://dbpedia.org/resource/Kassina_schioetzi>
fish,<http://dbpedia.org/resource/Bagrichthys_macropterus>
fish,<http://dbpedia.org/resource/Acanthogobius>
fish,<http://dbpedia.org/resource/Notropis_potteri>
invertebrate,<http://dbpedia.org/resource/Dysdera_aculeata>
bird,<http://dbpedia.org/resource/Southern_lapwing>
insect,<http://dbpedia.org/resource/Rhagium_iranum>
invertebrate,<http://dbpedia.org/resource/Paralithodes_californiensis>
amphibian,<http://dbpedia.org/resource/Plectrohyla_crassa>
fish,<http://dbpedia.org/resource/Acanthochromis_polyacanthus>
reptile,<http://dbpedia.org/resource/Enyalioides>
insect,<http://dbpedia.org/resource/Retinia_pseudotsugaicola>
bird,<http://dbpedia.org/resource/Red-shouldered_macaw>
mammal,<http://dbpedia.org/resource/Chestnut_sac-winged_bat>
mammal,<http://dbpedia.org/resource/Sulawesi_horseshoe_bat>
insect,<http://dbpedia.org/resource/Psaphida_thaxteriana>
insect,<http://dbpedia.org/resource/Euclasta_pauli>
invertebrate,<http://dbpedia.org/resource/Mysidopsis>
bird,<http://dbpedia.org/resource/Red-throated_loon>
amphibian,<http://dbpedia.org/resource/Ayarzaguena's_tree_frog>
reptile,<http://dbpedia.org/resource/Inyoka>
insect,<http://dbpedia.org/resource/Gymnocheta_magna>
fish,<http://dbpedia.org/resource/Trypauchenopsis_intermedia>
bird,<http://dbpedia.org/resource/Andean_lapwing>
bird,<http://dbpedia.org/resource/Black-throated_antshrike>
insect,<http://dbpedia.org/resource/Onthophagus_gazella>
fish,<http://dbpedia.org/resource/Monkey_goby>
insect,<http://dbpedia.org/resource/Anomoeotes_tenellula>
amphibian,<http://dbpedia.org/resource/Madagascan_mantella>
mammal,<http://dbpedia.org/resource/Lonchophylla>
reptile,<http://dbpedia.org/resource/Leioheterodon_madagascariensis>
fish,<http://dbpedia.org/resource/Labrisomus_philippii>
insect,<http://dbpedia.org/resource/Stigmella_alicia>
invertebrate,<http://dbpedia.org/resource/Kargoecius>
mammal,<http://dbpedia.org/resource/Ctenomys_yatesi>
mammal,<http://dbpedia.org/resource/Shaw's_jird>
amphibian,<http://dbpedia.org/resource/Shelania>
amphibian,<http://dbpedia.org/resource/Pseudopaludicola_riopiedadensis>
invertebrate,<http://dbpedia.org/resource/Sphaerolichus>
invertebrate,<http://dbpedia.org/resource/Willmanniella>
insect,<http://dbpedia.org/resource/Catocala_nuptialis>
fish,<http://dbpedia.org/resource/Cuban_chimaera>
fish,<http://dbpedia.org/resource/Cottocomephorus>
insect,<http://dbpedia.org/resource/Phaio_geminiguttata>
fish,<http://dbpedia.org/resource/Striped_panchax>
fish,<http://dbpedia.org/resource/Opsopoeodus_emiliae>
insect,<http://dbpedia.org/resource/Macroglossum_joannisi>
amphibian,<http://dbpedia.org/resource/Phyllodytes_wuchereri>
invertebrate,<http://dbpedia.org/resource/Panteniphididae>
fish,<http://dbpedia.org/resource/Microdesmus>
invertebrate,<http://dbpedia.org/resource/Batella>
bird,<http://dbpedia.org/resource/Blue-crowned_motmot>
fish,<http://dbpedia.org/resource/Cryptocentrus_pavoninoides>
bird,<http://dbpedia.org/resource/White-throated_rail>
mammal,<http://dbpedia.org/resource/African_striped_weasel>
insect,<http://dbpedia.org/resource/Conchylodes_diphteralis>
bird,<http://dbpedia.org/resource/Green-crowned_warbler>
insect,<http://dbpedia.org/resource/Moerarchis_inconcisella>
invertebrate,<http://dbpedia.org/resource/Atergatis_(genus)>
mammal,<http://dbpedia.org/resource/Ecuadorian_sac-winged_bat>
insect,<http://dbpedia.org/resource/Conchylodes_gammaphora>
mammal,<http://dbpedia.org/resource/Orangutan–human_last_common_ancestor>
insect,<http://dbpedia.org/resource/Aphrissa_statira>
fish,<http://dbpedia.org/resource/White_trevally>
invertebrate,<http://dbpedia.org/resource/Lygromma_anops>
mammal,<http://dbpedia.org/resource/Hyopsodus>
fish,<http://dbpedia.org/resource/Shrimpfish>
amphibian,<http://dbpedia.org/resource/European_spadefoot_toad>
insect,<http://dbpedia.org/resource/Orientozeuzera_quieta>
invertebrate,<http://dbpedia.org/resource/Carcinus_maenas>
insect,<http://dbpedia.org/resource/Meliaba>
bird,<http://dbpedia.org/resource/Urocissa>
invertebrate,<http://dbpedia.org/resource/Nephilengys_cruentata>
amphibian,<http://dbpedia.org/resource/Idaho_giant_salamander>
mammal,<http://dbpedia.org/resource/Short-beaked_common_dolphin>
insect,<http://dbpedia.org/resource/Farrodes>
invertebrate,<http://dbpedia.org/resource/Marpissa_pikei>
insect,<http://dbpedia.org/resource/Paonias_myops>
reptile,<http://dbpedia.org/resource/Cyclodomorphus>
fish,<http://dbpedia.org/resource/Brachyhypopomus_bennetti>
bird,<http://dbpedia.org/resource/Buteoninae>
bird,<http://dbpedia.org/resource/Santa_Marta_woodstar>
fish,<http://dbpedia.org/resource/Amphiprion_mccullochi>
invertebrate,<http://dbpedia.org/resource/Nucula_dunedinensis>
reptile,<http://dbpedia.org/resource/Centemodon>
fish,<http://dbpedia.org/resource/Ernstichthys_intonsus>
mammal,<http://dbpedia.org/resource/Indian_crested_porcupine>
invertebrate,<http://dbpedia.org/resource/Euscorpius_mingrelicus>
amphibian,<http://dbpedia.org/resource/Oreophryne_parkeri>
bird,<http://dbpedia.org/resource/Tetrastes>
bird,<http://dbpedia.org/resource/New_Caledonian_cuckooshrike>
insect,<http://dbpedia.org/resource/Onythes_flavicosta>
insect,<http://dbpedia.org/resource/Lecithocera_shanpinensis>
insect,<http://dbpedia.org/resource/Catocala_consors>
fish,<http://dbpedia.org/resource/Anabarilius_brevianalis>
fish,<http://dbpedia.org/resource/Leptonotus>
reptile,<http://dbpedia.org/resource/Vincent's_least_gecko>
mammal,<http://dbpedia.org/resource/Ursus_rossicus>
fish,<http://dbpedia.org/resource/Salvelinus>
reptile,<http://dbpedia.org/resource/Banda_Island_Dtella>
invertebrate,<http://dbpedia.org/resource/Phytoseiidae>
bird,<http://dbpedia.org/resource/Honeyeater>
bird,<http://dbpedia.org/resource/Eungella_honeyeater>
bird,<http://dbpedia.org/resource/Bronze-tailed_thornbill>
bird,<http://dbpedia.org/resource/Saroglossa>
fish,<http://dbpedia.org/resource/Sakamenichthys>
mammal,<http://dbpedia.org/resource/Cynarctoides>
insect,<http://dbpedia.org/resource/Sybra_aenescens>
fish,<http://dbpedia.org/resource/Akmonistion>
fish,<http://dbpedia.org/resource/Bigeye_poacher>
bird,<http://dbpedia.org/resource/Arrow-marked_babbler>
fish,<http://dbpedia.org/resource/Thinlip_conger>
amphibian,<http://dbpedia.org/resource/Craugastor_gollmeri>
fish,<http://dbpedia.org/resource/Gillellus_healae>
insect,<http://dbpedia.org/resource/Callidium_rufipenne>
reptile,<http://dbpedia.org/resource/Glossy_snake>
mammal,<http://dbpedia.org/resource/Ruwenzori_sun_squirrel>
fish,<http://dbpedia.org/resource/Liocranium>
fish,<http://dbpedia.org/resource/Snub-nosed_spiny_eel>
mammal,<http://dbpedia.org/resource/Cambodian_striped_squirrel>
invertebrate,<http://dbpedia.org/resource/Chantia>
mammal,<http://dbpedia.org/resource/Uropsilinae>
fish,<http://dbpedia.org/resource/Diplotaxodon_limnothrissa>
fish,<http://dbpedia.org/resource/Amphistichus_koelzi>
mammal,<http://dbpedia.org/resource/Malayan_pygmy_shrew>
