,animal name,DBpedia_URI,rdf2vec_tag
0,aardvark,http://dbpedia.org/resource/Aardvark,<http://dbpedia.org/resource/Aardvark>
1,antelope,http://dbpedia.org/resource/Antelope,<http://dbpedia.org/resource/Antelope>
2,bass,http://dbpedia.org/resource/Bass,<http://dbpedia.org/resource/Bass>
3,bear,http://dbpedia.org/resource/Bear,<http://dbpedia.org/resource/Bear>
4,boar,http://dbpedia.org/resource/Boar,<http://dbpedia.org/resource/Boar>
5,buffalo,http://dbpedia.org/resource/Buffalo,<http://dbpedia.org/resource/Buffalo>
6,calf,http://dbpedia.org/resource/Calf,<http://dbpedia.org/resource/Calf>
7,carp,http://dbpedia.org/resource/Carp,<http://dbpedia.org/resource/Carp>
8,catfish,http://dbpedia.org/resource/Catfish,<http://dbpedia.org/resource/Catfish>
9,cavy,http://dbpedia.org/resource/Cavy,<http://dbpedia.org/resource/Cavy>
10,cheetah,http://dbpedia.org/resource/Cheetah,<http://dbpedia.org/resource/Cheetah>
11,chicken,http://dbpedia.org/resource/Chicken,<http://dbpedia.org/resource/Chicken>
12,chub,http://dbpedia.org/resource/Chub,<http://dbpedia.org/resource/Chub>
13,clam,http://dbpedia.org/resource/Clam,<http://dbpedia.org/resource/Clam>
14,crab,http://dbpedia.org/resource/Crab,<http://dbpedia.org/resource/Crab>
15,crayfish,http://dbpedia.org/resource/Crayfish,<http://dbpedia.org/resource/Crayfish>
16,crow,http://dbpedia.org/resource/Crow,<http://dbpedia.org/resource/Crow>
17,deer,http://dbpedia.org/resource/Deer,<http://dbpedia.org/resource/Deer>
18,dogfish,http://dbpedia.org/resource/Dogfish,<http://dbpedia.org/resource/Dogfish>
19,dolphin,http://dbpedia.org/resource/Dolphin,<http://dbpedia.org/resource/Dolphin>
20,dove,http://dbpedia.org/resource/Dove,<http://dbpedia.org/resource/Dove>
21,duck,http://dbpedia.org/resource/Duck,<http://dbpedia.org/resource/Duck>
22,elephant,http://dbpedia.org/resource/Elephant,<http://dbpedia.org/resource/Elephant>
23,flamingo,http://dbpedia.org/resource/Flamingo,<http://dbpedia.org/resource/Flamingo>
24,flea,http://dbpedia.org/resource/Flea,<http://dbpedia.org/resource/Flea>
25,frog,http://dbpedia.org/resource/Frog,<http://dbpedia.org/resource/Frog>
26,frog,http://dbpedia.org/resource/Frog,<http://dbpedia.org/resource/Frog>
27,fruitbat,http://dbpedia.org/resource/Fruitbat,<http://dbpedia.org/resource/Fruitbat>
28,giraffe,http://dbpedia.org/resource/Giraffe,<http://dbpedia.org/resource/Giraffe>
29,girl,http://dbpedia.org/resource/Girl,<http://dbpedia.org/resource/Girl>
30,gnat,http://dbpedia.org/resource/Gnat,<http://dbpedia.org/resource/Gnat>
31,goat,http://dbpedia.org/resource/Goat,<http://dbpedia.org/resource/Goat>
32,gorilla,http://dbpedia.org/resource/Gorilla,<http://dbpedia.org/resource/Gorilla>
33,gull,http://dbpedia.org/resource/Gull,<http://dbpedia.org/resource/Gull>
34,haddock,http://dbpedia.org/resource/Haddock,<http://dbpedia.org/resource/Haddock>
35,hamster,http://dbpedia.org/resource/Hamster,<http://dbpedia.org/resource/Hamster>
36,hare,http://dbpedia.org/resource/Hare,<http://dbpedia.org/resource/Hare>
37,hawk,http://dbpedia.org/resource/Hawk,<http://dbpedia.org/resource/Hawk>
38,herring,http://dbpedia.org/resource/Herring,<http://dbpedia.org/resource/Herring>
39,honeybee,http://dbpedia.org/resource/Honeybee,<http://dbpedia.org/resource/Honeybee>
40,housefly,http://dbpedia.org/resource/Housefly,<http://dbpedia.org/resource/Housefly>
41,kiwi,http://dbpedia.org/resource/Kiwi,<http://dbpedia.org/resource/Kiwi>
42,ladybird,http://dbpedia.org/resource/Ladybird,<http://dbpedia.org/resource/Ladybird>
43,lark,http://dbpedia.org/resource/Lark,<http://dbpedia.org/resource/Lark>
44,leopard,http://dbpedia.org/resource/Leopard,<http://dbpedia.org/resource/Leopard>
45,lion,http://dbpedia.org/resource/Lion,<http://dbpedia.org/resource/Lion>
46,lobster,http://dbpedia.org/resource/Lobster,<http://dbpedia.org/resource/Lobster>
47,lynx,http://dbpedia.org/resource/Lynx,<http://dbpedia.org/resource/Lynx>
48,mink,http://dbpedia.org/resource/Mink,<http://dbpedia.org/resource/Mink>
49,mole,http://dbpedia.org/resource/Mole,<http://dbpedia.org/resource/Mole>
50,mongoose,http://dbpedia.org/resource/Mongoose,<http://dbpedia.org/resource/Mongoose>
51,moth,http://dbpedia.org/resource/Moth,<http://dbpedia.org/resource/Moth>
52,newt,http://dbpedia.org/resource/Newt,<http://dbpedia.org/resource/Newt>
53,octopus,http://dbpedia.org/resource/Octopus,<http://dbpedia.org/resource/Octopus>
54,opossum,http://dbpedia.org/resource/Opossum,<http://dbpedia.org/resource/Opossum>
55,oryx,http://dbpedia.org/resource/Oryx,<http://dbpedia.org/resource/Oryx>
56,ostrich,http://dbpedia.org/resource/Ostrich,<http://dbpedia.org/resource/Ostrich>
57,parakeet,http://dbpedia.org/resource/Parakeet,<http://dbpedia.org/resource/Parakeet>
58,penguin,http://dbpedia.org/resource/Penguin,<http://dbpedia.org/resource/Penguin>
59,pheasant,http://dbpedia.org/resource/Pheasant,<http://dbpedia.org/resource/Pheasant>
60,pike,http://dbpedia.org/resource/Pike,<http://dbpedia.org/resource/Pike>
61,piranha,http://dbpedia.org/resource/Piranha,<http://dbpedia.org/resource/Piranha>
62,pitviper,http://dbpedia.org/resource/Pitviper,<http://dbpedia.org/resource/Pitviper>
63,platypus,http://dbpedia.org/resource/Platypus,<http://dbpedia.org/resource/Platypus>
64,polecat,http://dbpedia.org/resource/Polecat,<http://dbpedia.org/resource/Polecat>
65,pony,http://dbpedia.org/resource/Pony,<http://dbpedia.org/resource/Pony>
