,name,tag,vector
0,aardvark,<http://dbpedia.org/resource/Aardvark>,[]
1,antelope,<http://dbpedia.org/resource/Antelope>,"[-0.11461294, -0.11528146, -0.042606436, 0.31192246, 0.55479896, 0.31903288, 0.12913574, -0.15817514, -0.0029367232, -0.038613547, 0.12397939, 0.55391383, 0.13139395, 0.39756849, -0.17997973, 0.02560549, -0.7541756, -0.36943966, -0.7585907, 0.45244008, -0.69976199, 0.45707321, 0.17621107, -0.35708368, -0.1356228, 0.68629307, -0.25260794, 0.31713262, -0.42622367, 0.35026458, 0.3040458, 0.62320942, 1.1797888, 1.0081598, -0.2981303, 0.15435168, -0.64568353, 0.15980983, -0.88089669, 0.31011021, 0.41462043, 0.42480725, -0.10381449, 0.59295547, -0.057303187, 0.37172124, -0.24419843, 0.38443786, -0.18200879, -0.77195925, -0.034861848, 0.37152141, -0.31335846, -0.91389501, 0.082017288, 0.63519996, 0.87843972, -0.78515166, 0.014186572, -0.36115372, -0.5043962, 0.5873456, 0.11444096, -0.068898872, -0.15972726, -0.40742591, 0.07115756, -0.07153511, -0.39008102, 0.17083806, -0.36008167, -0.12818858, 0.1106725, -0.42190802, 0.58879209, -0.20811796, 0.23368227, 0.43744701, -0.282736, 0.039726008, 0.018176828, 0.26145998, 0.086531892, 0.014941386, 0.33839315, 0.46209767, -0.24822865, 0.081496373, 0.14956971, 0.27472967, -0.25425398, 0.19335675, -0.36126271, -0.14745653, 0.40935698, -0.087313451, -0.38913339, -0.084775127, 0.18155956, -0.4145503, 0.56774139, 0.1218785, 0.87344927, 0.59346318, -0.48754105, 0.19266605, 0.30771482, -0.27594978, 0.56256384, 0.33339006, -0.049063355, -0.14397663, -0.27082005, 0.097926125, 0.18083507, 0.34455609, 0.81632805, -0.01984195, 0.24930769, 0.037218779, 0.14144124, 0.060158644, -0.25369626, -0.10457787, -0.28333575, 0.12795211, -0.099746421, -0.78201646, -0.07707087, -0.15988339, 0.50739568, -0.50400382, -0.32640982, -0.026997503, -0.21256883, 0.66595119, -0.22397567, -0.010373225, 1.265882, -0.75211287, 0.50452548, 0.81430554, -0.40620869, -0.074966177, -0.079196751, 0.5786829, 1.0263631, 0.53150469, -0.024191147, -0.2662535, 0.91833442, 1.272696, -0.55172342, -0.12713757, -0.55666375, -0.51877213, 0.085653156, 0.55942297, -0.598638, -0.65537518, -0.21892667, -0.062840998, -0.4322373, 0.21939962, 0.10953819, 0.060079493, 0.19125752, -0.32404593, -0.10231094, 0.022873379, 0.15809996, 0.4355197, 0.95842916, 0.027317714, 0.1446055, -0.40230739, -0.021547187, -0.45922515, 0.788122, -0.048647482, 0.41873097, -0.34523016, -0.2516025, 0.30968833, 0.094364665, -0.0090497388, 1.0315064, -0.11282289, 0.63963741, 0.37246421, -0.32789034, 0.43492004, -0.43681231, 0.12482916, 0.36611259, -0.91069096, 0.49392042, 0.24571449, -0.28836069, -0.21397297]"
2,bass,<http://dbpedia.org/resource/Bass>,[]
3,bear,<http://dbpedia.org/resource/Bear>,"[-0.11080996, -0.22184229, -0.085515209, 0.083583586, 0.44017714, 0.47706774, -0.094011568, 0.1178675, -0.11878797, -0.069931492, 0.34481981, 0.78077805, 0.71102566, 0.43346095, 0.010442669, 0.055100407, -0.67295444, 0.03590503, -0.41612959, 0.060452584, -1.0862929, -0.086023621, 0.0060123592, -0.33515447, 0.085063621, 0.67875946, -0.89805359, 0.27504489, -0.1861835, -0.15127072, 0.35722879, 0.30174726, 0.58916742, 0.048503775, -0.13905115, 0.13055517, -0.41070211, 0.028216586, -0.64241719, 0.34914225, 0.070395343, 0.69348687, 0.01973488, 0.64628506, -0.24625359, 0.50427216, -0.66513836, 0.81875026, -0.043062057, -0.29685876, 0.037546452, 0.026334656, 0.083277069, -0.92269713, -0.13956216, 0.46846518, 0.59611106, -0.80547792, -0.083541378, -0.56212443, -0.5742383, 0.059528295, -0.13041845, -0.19853906, -0.23277166, 0.13582924, 0.30646715, 0.08530771, -0.11857527, 0.19596493, -0.53363681, -0.37001339, 0.47535041, -0.29977193, 0.36716411, -0.12308595, 0.0090913884, -0.18898882, 0.16610214, -0.15429084, -0.036094915, 0.1173775, 0.19965222, 0.37153381, 0.10899046, 0.48004225, -0.43919924, -0.12148743, 0.00067400711, 0.52545929, -0.14306684, 0.038203258, -0.20189525, -0.24766783, -0.15366143, 0.19879884, -0.6036827, 0.11502369, -0.14020652, 0.14275144, 0.25144386, 0.20705611, 0.70238388, 0.66219032, -0.27049205, 0.39981195, 0.34246293, -0.070709258, 0.66178918, 0.34041366, -0.25634283, -0.26482731, -0.32589656, 0.50400734, 0.21561933, 0.0037539559, 1.012519, -0.17527847, 0.25708801, -0.44067672, 0.21983679, -0.21866195, -0.22815484, -0.55173516, -0.30147734, 0.51562965, -0.24392152, -0.39992732, 0.37623042, -0.47994107, 0.48089239, -0.33935526, -0.1957248, 0.20740797, -0.32088661, 0.29396248, -0.42391855, 0.34127572, 1.2768958, -0.60407001, -0.024732016, 0.6644761, -0.22629742, 0.31487244, -0.26902843, 0.82889766, 1.2274668, 0.43805704, 0.083366998, -0.14992905, 0.72425199, 0.89713752, 0.04161837, 0.3411451, -0.85935014, -0.63935411, 0.083311729, 0.31416175, -0.81556439, -0.64940667, -0.25897247, -0.19556145, -0.33988488, 0.32609773, 0.017100632, 0.15764999, 0.15801871, -0.41071406, -0.088689379, 0.061362367, 0.44079304, 0.34635887, 0.67193097, -0.1008931, 0.3497597, -0.57730228, -0.21458447, -0.1580407, 0.84925932, 0.071134545, 0.26685104, -0.4538112, -0.56014013, 0.29407543, 0.5048815, 0.30452394, 0.41249689, -0.010509546, 0.6487537, 0.58755207, -0.29825357, 0.63728917, -0.87353128, 0.079596505, 0.0725732, -0.6788556, 0.28815901, 0.28116021, -0.28967917, 0.09496709]"
4,boar,<http://dbpedia.org/resource/Boar>,[]
5,buffalo,<http://dbpedia.org/resource/Buffalo>,[]
6,calf,<http://dbpedia.org/resource/Calf>,"[-0.19572116, -0.051370136, 0.061120514, 0.41402248, 0.49683955, 0.43530244, 0.21148247, -0.13131782, -0.050495446, 0.17341474, 0.014955206, 0.59009039, 0.17223443, 0.5782972, -0.24148379, 0.00099040975, -0.81992316, -0.46693438, -0.73631001, 0.37286502, -0.77810317, 0.46041429, 0.12268224, -0.40893695, -0.34081581, 0.53870469, -0.1921002, 0.33237213, -0.39795455, 0.36012194, 0.46259579, 0.531991, 1.2668759, 1.0148659, -0.40535215, 0.10254754, -0.69103634, 0.30196837, -0.7568602, 0.34097403, 0.40016165, 0.36020604, -0.10828672, 0.66479909, 0.11138666, 0.58016509, -0.38925204, 0.46078146, -0.24788411, -0.82610357, -0.072501533, 0.36759397, -0.31596455, -1.0886433, 0.14354615, 0.651712, 0.85591531, -0.92448241, 0.10290933, -0.41360196, -0.63808072, 0.81910419, 0.043129601, -0.0027120118, -0.19362839, -0.68180013, 0.21227458, -0.069115289, -0.43228665, 0.2536203, -0.39079806, -0.23207873, 0.2019759, -0.518107, 1.0477747, -0.5097748, 0.20034, 0.53450918, -0.21505688, 0.24955642, 0.14085287, 0.24141812, 0.096745558, -0.10752086, 0.24199735, 0.65965533, -0.32725605, 0.078502283, 0.019107651, 0.24641426, -0.37985912, 0.24786247, -0.25593248, -0.16792457, 0.47557384, -0.06645152, -0.45203605, -0.11775808, 0.24542353, -0.39276734, 0.71005195, 0.11795569, 1.0858415, 0.76274359, -0.55590421, 0.32998115, 0.41489488, -0.21906687, 0.84783351, 0.48796636, -0.13956313, -0.093933918, -0.36742181, 0.13457128, 0.30884358, 0.51956147, 0.97188699, -0.21012999, 0.43705598, 0.026077226, 0.084369056, 0.25192821, -0.19841239, -0.087093115, -0.24318379, 0.087595969, -0.13327767, -0.8858875, -0.049236663, -0.1879745, 0.61226165, -0.58942193, -0.19204752, -0.002883361, -0.12889127, 0.80142444, -0.28417116, -0.13611302, 1.5474387, -0.62881172, 0.5279327, 0.7208032, -0.34697762, 0.042684797, -0.10219173, 0.58139354, 1.162277, 0.4941797, -0.015371396, -0.3418957, 1.104916, 1.3788068, -0.50411099, -0.15536726, -0.79255885, -0.43475255, 0.09695597, 0.46416056, -0.5004335, -0.73274493, -0.29200363, -0.051999807, -0.35278654, 0.14823332, 0.18076882, -0.055892456, 0.32311529, -0.44457227, -0.14075391, 0.14563435, 0.043031607, 0.3927657, 0.9788419, -0.15021087, 0.19053179, -0.55187696, -0.020230582, -0.54074055, 0.73761916, -0.0572454, 0.43635789, -0.4117946, -0.40376636, 0.34821638, 0.13479786, -0.076075315, 0.88259, -0.13800259, 0.55950689, 0.38977182, -0.37866533, 0.39749137, -0.50110847, 0.020747881, 0.16991402, -0.92954284, 0.52980131, 0.29231474, -0.28645435, 0.0035458733]"
7,carp,<http://dbpedia.org/resource/Carp>,"[-0.063300714, -0.12413456, -0.035635926, 0.29738277, 0.65680921, 0.31348336, 0.13652398, -0.17510881, -0.023390951, -0.010391396, 0.1528472, 0.53387445, 0.11815359, 0.45499328, -0.24700858, 0.027919644, -0.74891073, -0.36415496, -0.75776935, 0.48874635, -0.68443763, 0.38075814, 0.071827672, -0.37592852, -0.1105487, 0.72327298, -0.31911418, 0.27432835, -0.41029862, 0.3367784, 0.35689825, 0.59274536, 1.1344066, 0.96430403, -0.26013571, 0.13565065, -0.66941363, 0.050250083, -0.88846612, 0.37438273, 0.35487488, 0.49789694, -0.020004041, 0.6162523, -0.029209683, 0.36744258, -0.28973165, 0.47710752, -0.1996834, -0.88794303, -0.0081993276, 0.46192101, -0.21808702, -0.94752377, 0.12854302, 0.71337754, 0.91840953, -0.86612761, 0.077298693, -0.35841966, -0.65371108, 0.67948973, 0.049496118, -0.045126051, -0.21892557, -0.43437356, 0.038249366, -0.085614845, -0.47415155, 0.12883879, -0.38150245, -0.17918387, 0.20681649, -0.55350399, 0.71617496, -0.30324912, 0.27871537, 0.3813875, -0.30243406, -0.074794106, -0.00085281493, 0.23535033, 0.027803557, 0.052040413, 0.37773776, 0.58314049, -0.27258998, 0.057030458, 0.18808433, 0.23102419, -0.25974554, 0.27604234, -0.38682079, -0.20272838, 0.39649883, -0.15478587, -0.43416747, -0.12758258, 0.20048073, -0.3641488, 0.54459393, 0.12542857, 0.91149652, 0.64307851, -0.52805638, 0.27600524, 0.32326564, -0.37602347, 0.57360691, 0.36260334, 0.10476784, -0.17374429, -0.34811014, 0.19605725, 0.24356441, 0.24982582, 0.82864785, -0.00096220215, 0.26972032, 0.03067054, 0.16464004, 0.035802133, -0.17027238, -0.11495742, -0.30292168, 0.085529543, -0.15155764, -0.72428936, 0.035446309, -0.2005676, 0.41017759, -0.58787006, -0.34735835, -0.039015882, -0.24143186, 0.6430558, -0.33812574, 0.024531735, 1.3414016, -0.70057768, 0.43424138, 0.79035169, -0.46713889, -0.0028003727, -0.056682035, 0.60865432, 1.0370668, 0.52871633, 0.039735261, -0.24811465, 1.0435348, 1.2637833, -0.53104502, -0.16573749, -0.5767467, -0.52745974, 0.10829712, 0.47377557, -0.50244564, -0.62842327, -0.20657353, -0.12082767, -0.35256478, 0.25263152, 0.081913576, 0.026565231, 0.09835086, -0.23405071, -0.058807809, -0.0085909683, 0.16069105, 0.35220996, 0.81712526, 0.13129553, 0.095801868, -0.49585128, 0.044300884, -0.35645169, 0.73354393, -0.11282567, 0.43893602, -0.28801656, -0.25475457, 0.27308309, 0.13644564, 0.046643388, 0.86522377, -0.074092239, 0.50451744, 0.36413312, -0.28666386, 0.36949739, -0.37089652, 0.076736003, 0.30327222, -0.89242232, 0.53946936, 0.26806599, -0.30919102, -0.18383628]"
8,catfish,<http://dbpedia.org/resource/Catfish>,"[0.48281202, -0.24340025, 0.043553725, -0.52820921, -0.082236826, 0.4447532, -0.079550199, 0.26811913, 0.093089961, -0.013219985, 0.19367155, 0.82524294, 0.056047212, 0.18047814, 0.69433784, 0.90562677, -0.39961299, -0.029167211, -0.22847766, -0.35430273, 0.41376701, -0.067018405, 0.61074334, 0.02658079, 0.51389635, 0.59366566, -0.30149946, 0.09681683, -1.0964034, -0.9649592, 0.36327106, -0.1625333, 0.43512997, -0.57603866, -0.19241372, 0.22496989, 0.093632743, 0.79745406, -0.49462688, -0.13581, 0.68795377, 0.21597132, 0.21646814, 0.62831229, 0.22854377, 0.69412208, 0.34764725, 0.59506094, 0.30643579, 0.11538216, 0.10837198, -0.12222164, 0.13378726, -0.42684364, 0.47840792, 0.37301263, -0.13278164, -0.26290154, -0.3393147, -0.56080449, -0.73238313, 0.29972228, 0.27315062, -0.18748766, -0.033647988, 0.28128597, -0.11716708, -0.21350424, 0.55725604, -1.546329, -0.17703086, 0.22914274, 0.28649786, -0.066246361, -0.55898458, -0.27281877, -0.06275411, -0.57225865, -0.088549852, -0.11727048, 0.37498143, 0.0022774776, 0.23891227, 0.44788611, 0.46553278, 0.527785, -0.13729933, 0.010132394, -0.6926071, -0.15700193, -0.74439538, -0.44628063, 0.037977129, -0.1529149, -0.58915269, 0.27908152, -1.3177373, -0.20957327, -0.4816851, 0.32376012, -0.44042578, -0.24136961, -0.060747229, 0.17891611, -0.44089597, -0.1347376, 0.75789726, -0.26765102, -0.0057499884, -0.214, 0.23770739, -0.069176801, -0.6824168, 0.083879977, 0.066662543, -0.4901785, 0.8209942, -0.33647597, -0.13970517, -0.24216159, 0.58060342, 0.21065606, -0.93601424, -0.093987487, 0.013074611, 0.31957713, 0.68278581, -0.37948108, -0.058458839, -0.38034549, 0.27918288, -0.50462115, -1.299585, -0.33516148, -0.76016957, -0.52818841, 0.097531773, -0.75056374, 0.32515615, -0.1558729, 0.61428744, 0.84986764, -0.56684345, -0.29924479, -0.44052768, 1.1644996, 1.0991204, 0.72235644, 0.035032105, 0.26972941, 0.33376622, -0.061357189, -0.22174941, 0.78443134, -0.56119764, -0.2207212, 0.76238954, 0.063685052, -1.058586, -0.43817896, -0.405036, 0.36422005, -0.69170541, 0.15933146, -0.38185617, 0.27772, -0.61605507, 0.35347301, -0.45956993, 0.67645383, -0.05483713, 1.1374674, 0.63724685, 0.073442608, -0.064563274, 0.18208274, 0.51497, -0.29730716, 0.35124764, -0.031815689, -0.61946023, -0.85986125, -0.44558942, -0.23261985, 0.82711267, 0.035745651, 0.60974419, 0.20939423, 0.81137776, 0.6145848, -0.44826269, 0.57240701, -0.18999298, -0.26417503, 0.481525, -1.0597842, 0.3793076, -0.42811334, -0.7763108, 0.2745187]"
9,cavy,<http://dbpedia.org/resource/Cavy>,[]
