,tag,vector
0,<http://dbpedia.org/resource/Animal>,"[-0.77968073 -0.51135099 -0.01512614  1.48242939 -0.32513133 -0.38733608
 -2.16705632  0.35411936  0.09735549 -0.55642933 -0.65001249  2.38072562
 -0.38959569 -0.519777    0.58074689  1.45216691 -0.95781243  0.24396197
  0.04258786  1.98631132  1.75042903 -0.31517676  0.56432146 -0.87471175
  0.61422217  0.42170581 -2.35725141 -2.08506894 -2.91348338 -0.36415973
 -0.01522989  0.76739889  0.57530069  0.427773    0.34479752 -0.63067001
  0.31431237  0.11541422 -0.65973097 -1.04326332  2.07632113  0.19122522
  0.28760627  2.31973958 -1.03101277  0.95037967 -0.65109229  0.17097791
 -0.67671061  0.34808409 -0.51552027 -0.62276149 -1.63932455  0.89651453
  0.59516126 -0.40119225 -1.67687428  0.3146694  -1.43184865  0.33079502
  0.43648818 -0.03048811 -1.18576765 -1.63819087  0.36306551  0.56974632
 -0.10898706  1.65822113  0.68314505 -1.95049393 -1.61635292  0.88971317
 -0.18551458 -0.42640415  1.61282718 -0.93836027 -1.02288604 -0.15073684
 -0.4742566   2.24173641  1.34444094  0.603567    0.41191101 -1.50952113
 -0.79922724  0.44595078  0.38194433  0.53692931  0.52098215 -0.56489545
 -0.49169192 -0.22761077 -0.61697918 -0.05342557 -0.43536919 -0.27744895
 -1.36749291 -1.19063807 -2.52643871 -0.32489344 -0.04586018  1.32097006
  1.51638913  2.24858642  0.10945588 -0.43613806 -0.7794432   0.39805344
  0.97660071 -0.42664832  0.95464706  1.07759416 -2.02349067 -0.88216645
  1.5905031  -1.12207317  1.19087744 -1.9366895   0.55930692  0.04876821
 -1.17685056  0.21357608  0.96412885  0.72710216  1.08227193 -0.13716912
  1.84667468 -1.68868291 -0.04876982 -0.51975095  1.38884914 -0.23417769
  0.73386759  0.46768099 -0.54605103  1.08000457  0.03299257  0.01094767
 -1.0684129   0.01825485 -0.20271395  1.01877153  0.35760662 -1.26182854
 -0.8528347   0.02580523  1.97901654  0.64077818 -0.24871255 -0.80113614
  0.37154818 -0.14056176  0.78090388  2.50539041 -0.32069653  0.61542267
  0.21986297  1.34560084  0.11857539 -0.8736847   0.15271941  1.2156589
 -2.2883935  -0.98376298 -0.67916459  1.34221506 -1.6217339  -0.75574809
 -0.6963641   1.13267624  0.16590458  1.41333354  1.2592082  -0.19332735
  0.1984141   0.82365799  0.67623401 -0.95874143  0.6806742  -1.03513753
 -0.1109971   1.27631831 -0.90751159  1.03285897  0.72898954 -0.30523568
  1.2971406   0.04170953  0.9109776   3.40945983 -0.56199682  0.56461108
 -0.2840924   0.19796051  0.64977729 -1.37813067 -0.3652449  -0.48949382
  0.17743197  0.74731457]"
1,<http://dbpedia.org/resource/Hair>,"[-0.02132745 -0.20213892  0.19432397  0.4225325   0.73188245  0.42775288
  0.11884105 -0.22394566  0.052301   -0.01583047  0.10336164  0.58763057
  0.27775538  0.65094846 -0.20721117 -0.0272563  -0.82018983 -0.36163828
 -0.7191599   0.53040916 -0.91280419  0.39869794  0.17598495 -0.44123074
 -0.20178606  0.78911859 -0.31183735  0.53090847 -0.35331818  0.29680958
  0.31957167  0.53235185  1.13294494  0.98080313 -0.30864409  0.14226158
 -0.66710216  0.02455479 -0.75255287  0.41674456  0.37635356  0.4106552
 -0.18090412  0.70675415 -0.00540995  0.42220095 -0.45068142  0.51929146
 -0.29124865 -0.89750153 -0.05115305  0.37025627 -0.37440792 -1.10131216
  0.13129248  0.744798    0.96977144 -1.07263827 -0.0954806  -0.49641374
 -0.71790659  0.73886722  0.19006962 -0.1905188  -0.25733253 -0.5635249
  0.1797637  -0.15256193 -0.46630067  0.2189934  -0.42228675 -0.29730847
  0.24162823 -0.6166575   0.90276968 -0.35704386  0.37852815  0.45295438
 -0.20449576  0.08592188  0.03217117  0.37314177  0.26191673  0.01786079
  0.3968696   0.87014282 -0.50036073  0.04574434  0.00501743  0.39094865
 -0.42909196  0.33266622 -0.4269239  -0.28679174  0.52126622 -0.09990653
 -0.52438062 -0.08899841  0.04968632 -0.54127163  0.71604234  0.21851325
  1.17777789  0.87749159 -0.61363822  0.43437725  0.44345531 -0.31416547
  0.79699069  0.45150149 -0.11896508 -0.13297045 -0.47437999  0.25799769
  0.22158284  0.36021715  1.15190089 -0.04631988  0.39377171  0.00351917
  0.29306176  0.03456108 -0.29488385 -0.25177485 -0.34596282  0.24018762
 -0.15428984 -0.90654331 -0.05360846 -0.29090068  0.69157183 -0.63707316
 -0.40121308  0.08590949 -0.33953491  0.71372139 -0.30239475  0.08359234
  1.511397   -0.92854446  0.48953417  0.95550382 -0.49219295 -0.00762463
 -0.13543206  0.79963624  1.18473089  0.59519082  0.00822899 -0.34029162
  1.05271077  1.58836555 -0.57364857 -0.11055962 -0.76408291 -0.61809337
  0.10442121  0.47993502 -0.62784845 -0.60382015 -0.12610397 -0.00976938
 -0.33457571  0.1329096   0.09277172  0.06486657  0.19534527 -0.39256635
 -0.04473453  0.12131095  0.15748598  0.45415938  0.9249934  -0.0259837
  0.24040802 -0.45388022 -0.08245001 -0.41236177  0.88630891 -0.12359839
  0.44975412 -0.41432038 -0.39171177  0.3043927   0.19282348  0.0990398
  0.91511226 -0.06245604  0.59848028  0.45166907 -0.27156898  0.45306149
 -0.51742715  0.1075827   0.26148018 -0.87435073  0.45077574  0.34738454
 -0.21690726 -0.07558738]"
2,<http://dbpedia.org/resource/Feather>,"[ -2.08762232e-02  -9.29501504e-02  -4.22861688e-02   2.68184572e-01
   5.87134361e-01   3.17214459e-01   1.13654949e-01  -1.71175554e-01
  -2.10915692e-04  -2.96444874e-02   1.36584446e-01   4.70164269e-01
   1.46862581e-01   3.92223120e-01  -2.21227258e-01   1.08751701e-02
  -6.58751070e-01  -2.71567225e-01  -7.36899734e-01   3.92519593e-01
  -6.59001112e-01   4.38166976e-01   1.71645492e-01  -3.59084070e-01
  -8.38435590e-02   6.90974474e-01  -2.40811422e-01   3.13501716e-01
  -4.64765221e-01   3.45320791e-01   3.09468150e-01   6.22166038e-01
   1.20158184e+00   1.09430981e+00  -3.07383418e-01   1.02720164e-01
  -6.49186850e-01   5.64569794e-02  -8.49731982e-01   2.85228878e-01
   4.19357866e-01   4.40089434e-01  -5.57774715e-02   5.79908729e-01
  -3.54121183e-03   3.56998593e-01  -3.31489652e-01   4.61527139e-01
  -2.21283913e-01  -8.85421813e-01  -4.96787839e-02   4.31547582e-01
  -3.54828000e-01  -9.40932274e-01   2.11213395e-01   6.23080432e-01
   9.18299258e-01  -7.47164786e-01   9.89370868e-02  -3.81174058e-01
  -6.49855435e-01   7.00103641e-01   1.30835682e-01  -8.48633200e-02
  -2.03530833e-01  -4.84249800e-01  -2.27372651e-03  -1.24761768e-01
  -4.00549918e-01   1.97891012e-01  -3.96264464e-01  -7.97574148e-02
   1.00696445e-01  -5.48459351e-01   6.92083061e-01  -2.65091389e-01
   3.16460311e-01   4.59399819e-01  -2.72023439e-01  -2.09124703e-02
  -5.89686558e-02   2.07514942e-01   7.94108883e-02   2.82005109e-02
   3.64957184e-01   5.02112269e-01  -2.10035697e-01   6.88267872e-02
   1.46858260e-01   1.96661204e-01  -3.15953612e-01   2.85047829e-01
  -3.67078185e-01  -2.24353701e-01   4.28745717e-01  -1.23404518e-01
  -3.78465474e-01  -7.45659918e-02   2.22978264e-01  -3.96996558e-01
   5.30710280e-01   1.18125811e-01   8.80702853e-01   6.40535891e-01
  -5.01864374e-01   2.48352900e-01   3.15496534e-01  -3.43277514e-01
   5.64066947e-01   2.76545525e-01   6.18725643e-02  -1.50376111e-01
  -2.99001396e-01   8.30530226e-02   2.17794448e-01   3.22798848e-01
   8.47147107e-01  -2.33657425e-03   2.74226397e-01   6.02953583e-02
   1.65430695e-01   6.43156990e-02  -2.13505641e-01  -5.08584678e-02
  -2.80963987e-01   6.19512610e-02  -1.38417408e-01  -7.95237780e-01
  -2.47235429e-02  -1.47978127e-01   4.81469095e-01  -5.32500148e-01
  -3.45682591e-01  -6.33573607e-02  -2.68146068e-01   6.38495862e-01
  -2.54494280e-01  -2.44992618e-02   1.21286809e+00  -7.24670827e-01
   4.56070095e-01   8.44057381e-01  -4.66406018e-01  -5.47110029e-02
  -2.95996536e-02   5.34699321e-01   1.03502893e+00   5.58252573e-01
   1.26179215e-02  -2.53411591e-01   9.27269101e-01   1.28287601e+00
  -5.34200013e-01  -1.84423834e-01  -5.84397495e-01  -4.68040973e-01
   5.50894551e-02   4.30650800e-01  -4.87134635e-01  -6.30232632e-01
  -1.43767804e-01  -6.13466371e-03  -3.84187520e-01   1.86947212e-01
   1.31119058e-01   2.56654248e-03   8.21469203e-02  -2.61239886e-01
  -2.75491290e-02   2.62866523e-02   9.37499329e-02   3.96978348e-01
   8.18113089e-01   7.73760825e-02   1.45183578e-01  -4.26096946e-01
   6.73983712e-03  -4.12088394e-01   7.13676393e-01  -1.57301918e-01
   4.50862437e-01  -2.92937368e-01  -2.98135221e-01   2.78729141e-01
   1.44510731e-01   3.40355784e-02   9.20070171e-01  -1.07359700e-01
   5.20577550e-01   2.79269457e-01  -2.59822279e-01   3.40494990e-01
  -3.67105603e-01   9.08748209e-02   3.07264864e-01  -9.04613853e-01
   4.84203815e-01   2.37534285e-01  -2.52625853e-01  -7.39876106e-02]"
3,<http://dbpedia.org/resource/Egg>,"[  1.70079134e-02  -2.08066478e-01   1.54919386e-01  -9.86362025e-02
   1.07805148e-01  -9.22214705e-03   9.38939676e-02  -5.68993241e-02
  -8.39814693e-02  -4.97852266e-01   2.01720864e-01   2.50752658e-01
  -5.57624083e-03   1.35751620e-01   4.71669771e-02  -2.82864887e-02
  -2.55733192e-01  -3.15907627e-01  -4.71173882e-01   2.09076077e-01
  -8.96541655e-01   2.65180677e-01  -3.18694383e-01  -3.99181902e-01
  -3.83929372e-01   3.67412567e-01  -4.84633446e-01   2.14043602e-01
   9.72045138e-02   9.49548744e-03   1.63284510e-01   3.55260283e-01
   5.05387902e-01   2.73387909e-01  -1.98128819e-01   3.33125740e-02
   1.56186586e-02  -2.15024929e-02  -1.74264640e-01   2.00621977e-01
  -2.05776274e-01   9.04118791e-02  -8.61633494e-02  -6.73134848e-02
  -1.54158929e-02   7.38068938e-01  -3.20107304e-02   2.46870100e-01
  -1.74318284e-01  -3.51621598e-01   2.48879924e-01   2.85871148e-01
  -5.88870198e-02  -1.04009204e-01  -1.24666661e-01   5.67163289e-01
   5.38952112e-01  -7.79937744e-01  -2.23775640e-01  -3.10681224e-01
  -6.05351806e-01   5.89119434e-01  -1.39246434e-01  -2.36776471e-01
  -7.12323710e-02  -2.89913863e-01   2.69130677e-01  -4.33199145e-02
  -3.13000858e-01   1.15821742e-01  -2.70095080e-01  -3.59065652e-01
   5.08757055e-01  -6.56318188e-01   6.66143835e-01  -2.10936040e-01
   1.38250142e-01   5.67596518e-02  -9.34011191e-02  -1.12373643e-01
  -5.66459782e-02   4.94587362e-01   4.41023782e-02   3.02192241e-01
   1.72243640e-02   2.73121744e-01  -3.08736682e-01  -2.56761402e-01
   3.32803056e-02   9.29048359e-02  -2.55356394e-02  -2.02714965e-01
  -3.93068522e-01   9.75502357e-02   1.90456092e-01  -7.42309913e-03
  -1.99780509e-01  -2.26804689e-01   1.81359440e-01  -3.97937447e-01
   3.31287950e-01  -5.80378547e-02   2.88159996e-01   1.54054940e-01
  -4.05720949e-01   2.83590168e-01   5.80402948e-02  -3.37099135e-01
   5.73913515e-01   3.01285721e-02  -6.81929067e-02  -4.19818573e-02
  -3.36985618e-01   2.25685090e-01   2.55809635e-01   1.76539458e-02
   6.08945191e-01  -1.45500898e-03   3.24610949e-01  -1.57728463e-01
   3.77080530e-01  -2.54560541e-02  -1.52924374e-01  -3.27637881e-01
  -5.48590004e-01   4.64441180e-01  -1.28618285e-01  -4.29496408e-01
   2.21340522e-01  -3.31457645e-01   3.35527211e-01  -4.98213768e-01
  -8.88265148e-02   5.40039130e-02  -2.02011809e-01   2.54032403e-01
   1.20097496e-01   1.12569302e-01   1.20685768e+00  -3.07823777e-01
   4.68482643e-01   5.11969745e-01  -6.01249874e-01   4.11145091e-01
  -2.61290878e-01   5.75851440e-01   8.31315219e-01   3.46182317e-01
   1.83995351e-01   6.10508432e-04   5.16826987e-01   1.08373642e+00
  -4.34242785e-01   7.75780231e-02  -7.51946986e-01  -2.53392607e-01
   2.65055776e-01   1.68596029e-01  -2.29771391e-01  -1.96000449e-02
  -7.25380257e-02  -2.75003433e-01  -3.05552840e-01  -1.28519675e-02
   2.16550827e-01   1.21774264e-01  -1.62474662e-01  -2.47160912e-01
   4.87170229e-03   3.31698030e-01   3.48537177e-01   2.73705304e-01
   5.17735422e-01  -1.79319400e-02  -8.48359168e-02  -3.57612848e-01
  -1.36998594e-01  -8.49325731e-02   5.41776299e-01  -3.22888255e-01
   1.05665334e-01  -1.98063731e-01  -3.28900605e-01  -2.49018192e-01
   1.86782733e-01  -1.71865597e-01   3.78544211e-01  -9.85658467e-02
   2.42132470e-01   3.39733183e-01  -5.79080403e-01   6.05405807e-01
  -5.46539783e-01   3.62224225e-03  -2.75651574e-01  -5.29990375e-01
  -2.65803691e-02   2.15786934e-01   9.70122293e-02   2.43038386e-02]"
4,<http://dbpedia.org/resource/Milk>,"[-0.08329401 -0.06354694  0.12658344  0.42588928  0.52893865  0.36762503
  0.12064464 -0.27273372 -0.05504664  0.00154641  0.14884801  0.47308639
  0.13239585  0.46600044 -0.20543708 -0.00332043 -0.72484154 -0.46478868
 -0.73491007  0.4773356  -0.82277018  0.49908543  0.13404132 -0.42405564
 -0.27074012  0.54293841 -0.2620545   0.32226717 -0.39386767  0.41326493
  0.32791963  0.58475888  1.15329385  1.00887012 -0.27071798  0.08544827
 -0.64418495  0.10078853 -0.77848643  0.36673555  0.3717458   0.37986746
 -0.15426728  0.53630036  0.00691284  0.42945692 -0.25245175  0.30871743
 -0.25571698 -0.80195308 -0.03288029  0.44555268 -0.41619644 -0.97485393
  0.16603659  0.59777093  0.87081766 -0.81232518  0.05095579 -0.32259825
 -0.62001801  0.7526688   0.12270063 -0.07288434 -0.10311544 -0.50834143
  0.11753298 -0.09856492 -0.54633838  0.21908435 -0.29664063 -0.06590095
  0.18301043 -0.57703888  0.87287843 -0.30624631  0.35025194  0.52268314
 -0.3369      0.18075493 -0.01011299  0.35253268  0.15118828 -0.04308156
  0.35349035  0.69733918 -0.3948096   0.1390665   0.15156892  0.30666807
 -0.34636763  0.25828606 -0.40508071 -0.23770985  0.60329193 -0.13971369
 -0.4215903  -0.08592773  0.20033765 -0.55971897  0.65844804  0.1563165
  1.05818021  0.75006956 -0.64634901  0.31150004  0.40560868 -0.38384494
  0.67146307  0.38308069 -0.09105653 -0.07543718 -0.39665192  0.13355166
  0.2752431   0.39096597  0.89036107 -0.09862355  0.34298852  0.07519116
  0.13528542  0.13350314 -0.26253301 -0.13352959 -0.38194329  0.12079275
 -0.09682857 -0.83362812 -0.07187916 -0.20505978  0.65546167 -0.6106599
 -0.37746152  0.0679892  -0.24398251  0.70955688 -0.19976903 -0.03913664
  1.43496764 -0.82015628  0.63399708  0.88901788 -0.48358017 -0.02262228
 -0.08965531  0.63827306  1.15859616  0.61660695  0.0664674  -0.29917842
  1.03907537  1.48413074 -0.58952183 -0.16569707 -0.66020727 -0.59775639
  0.14410424  0.5093258  -0.50369418 -0.6746313  -0.23174472 -0.1019109
 -0.45437524  0.24718164  0.16826254  0.03212984  0.15901372 -0.37615469
 -0.04533252  0.11737616  0.13327898  0.43570629  0.97213668  0.00790523
  0.17385475 -0.48829141 -0.09278925 -0.44938841  0.83991188 -0.14005919
  0.4372904  -0.37860927 -0.28763145  0.2088851   0.14387327 -0.06794815
  0.9907046  -0.10035232  0.52881634  0.32577386 -0.35220695  0.5130108
 -0.37866881  0.09429621  0.25447252 -0.80254489  0.50391889  0.37584436
 -0.28186345 -0.10904983]"
5,<http://dbpedia.org/resource/Flying_and_gliding_animals>,[]
6,<http://dbpedia.org/resource/Aquatic_animal>,[]
7,<http://dbpedia.org/resource/Predation>,"[ -6.34892434e-02  -1.29297987e-01   2.34026965e-02   2.99576938e-01
   5.75277627e-01   3.56589943e-01   1.67996332e-01  -2.03186154e-01
   2.45697014e-02  -3.81880291e-02   1.09298833e-01   5.06293178e-01
   5.75470142e-02   4.06927019e-01  -2.16717720e-01   2.37082392e-02
  -6.79717124e-01  -3.20643991e-01  -6.67857230e-01   3.89244527e-01
  -5.52656412e-01   4.54491436e-01   2.20395312e-01  -3.23780030e-01
  -9.52453464e-02   7.99133480e-01  -2.57446140e-01   3.07844371e-01
  -4.66919363e-01   3.41977924e-01   3.72220278e-01   6.21146500e-01
   1.16073322e+00   1.03883719e+00  -3.38768542e-01   1.15570806e-01
  -6.62043512e-01   9.59230587e-02  -8.23241115e-01   2.87703335e-01
   3.58894348e-01   3.90227258e-01  -1.50632024e-01   5.63280821e-01
   1.59962345e-02   2.97869384e-01  -2.45658532e-01   3.91932696e-01
  -2.35103637e-01  -8.40893626e-01  -7.79622048e-02   4.09172922e-01
  -3.10367256e-01  -8.22253168e-01   8.56631994e-02   5.72987616e-01
   7.62486994e-01  -6.91813350e-01   5.58047481e-02  -2.14154586e-01
  -5.76899707e-01   6.66355312e-01   1.96809787e-02  -8.35892484e-02
  -2.00149089e-01  -4.94121134e-01   8.06214288e-02  -1.29670978e-01
  -4.53167498e-01   1.13721870e-01  -3.56699198e-01  -1.63128644e-01
   1.70297436e-02  -5.13421893e-01   6.35067523e-01  -2.80796021e-01
   3.18523526e-01   3.91047090e-01  -3.46800178e-01   1.55653050e-02
   3.87130901e-02   2.34340236e-01   1.04208864e-01   3.44630051e-03
   3.73698473e-01   5.16132712e-01  -2.49605447e-01   2.37582754e-02
   2.05847323e-01   2.34757170e-01  -2.58437961e-01   2.09164605e-01
  -3.47544432e-01  -1.35151610e-01   4.22617555e-01  -1.37840599e-01
  -2.67500401e-01  -7.85104260e-02   1.74736261e-01  -4.25992519e-01
   5.27702212e-01   1.18584067e-01   9.53669667e-01   5.47015607e-01
  -4.98195827e-01   1.93286136e-01   3.30950677e-01  -3.33768487e-01
   5.49477100e-01   3.46306860e-01   3.95830646e-02  -1.01493374e-01
  -2.87090570e-01   1.06990866e-01   2.30711326e-01   3.10840398e-01
   7.44328558e-01  -3.06105763e-02   3.34019482e-01   4.61475477e-02
   1.43702745e-01   9.76814255e-02  -1.39903337e-01  -5.47194965e-02
  -3.36967170e-01   8.86883289e-02  -1.52040452e-01  -7.99407423e-01
  -1.11622242e-02  -1.73952609e-01   5.29651821e-01  -5.62514365e-01
  -4.05342251e-01  -3.63809019e-02  -2.62726605e-01   6.93964362e-01
  -1.77418679e-01  -6.06488921e-02   1.22091722e+00  -7.05806971e-01
   4.57550317e-01   8.04134905e-01  -4.21998024e-01   6.00262312e-03
  -6.90135658e-02   6.29107237e-01   1.01147008e+00   4.87543285e-01
   5.81089221e-02  -3.02823514e-01   9.42353249e-01   1.34223509e+00
  -5.71909368e-01  -2.09679455e-01  -5.51917911e-01  -5.27890503e-01
   9.79583710e-02   5.15443087e-01  -5.13701320e-01  -6.53951705e-01
  -1.72573417e-01  -1.00439593e-01  -3.74375612e-01   1.77727312e-01
   1.57059506e-01   1.19990811e-01   8.78981650e-02  -2.36350194e-01
  -5.63273169e-02   2.96555273e-02   1.55223787e-01   3.50875795e-01
   9.22819257e-01   1.13485105e-01   1.44858330e-01  -4.96113092e-01
   4.28906307e-02  -4.14810210e-01   7.35935509e-01  -2.17975348e-01
   5.27617991e-01  -3.20561111e-01  -2.88406342e-01   2.51693368e-01
   9.00944322e-02   3.66543478e-04   1.00261879e+00  -1.57751814e-01
   4.41923082e-01   3.16332638e-01  -2.36440003e-01   3.57978106e-01
  -3.83232802e-01   3.39045823e-02   2.98860848e-01  -8.34292293e-01
   5.21120667e-01   3.07741910e-01  -2.66825914e-01  -2.21609548e-01]"
8,<http://dbpedia.org/resource/Tooth>,"[-0.07638098 -0.06468586  0.1934604   0.08582109  0.25591758 -0.20384978
  0.0923548  -0.19870043 -0.32323185 -0.19725451  0.11708537  0.21318036
  0.07205788  0.01679726  0.27876994  0.10127848 -0.11056717  0.04331366
 -0.21989132  0.15664196 -0.67111069  0.31910023  0.0460664  -0.24230781
 -0.17402427  0.20622206 -0.20680852  0.09543322 -0.2808173   0.1764541
  0.26659009 -0.01842593  0.22781803  0.3501457  -0.09917269  0.05415212
 -0.05936453 -0.00590369 -0.16981058  0.04601484  0.19850433  0.00803476
  0.08239613  0.16294424 -0.11451343  0.43257713 -0.04987861  0.18606524
 -0.2532486  -0.3163642   0.00360816  0.15459898 -0.18385297 -0.3732276
  0.03701439  0.06793009  0.50560921 -0.47448531 -0.15138349 -0.30438751
 -0.44468299  0.26810291 -0.05751012 -0.22694628  0.02327386 -0.05664808
  0.17998657 -0.03574724 -0.2328283   0.06252146 -0.20249051 -0.13877659
  0.19997159 -0.19038481  0.45962399 -0.27561885  0.21216366  0.07218316
  0.06072668  0.29866192 -0.02740085  0.07320735 -0.09722731  0.19044906
  0.05532994  0.30989215 -0.41086727 -0.03497247 -0.00089779  0.09141211
 -0.00768093 -0.03213389 -0.14215681  0.18214996  0.24555041  0.12750965
 -0.01772468 -0.13416496 -0.04575798 -0.17658375  0.48263508 -0.10153589
  0.3541702   0.47673678 -0.25548083  0.10465452  0.26440099  0.0376811
  0.69084996  0.2211861  -0.07455154 -0.09413434 -0.49762392  0.05109814
 -0.01799221  0.06510993  0.89711785  0.1148871   0.22214541  0.01323499
  0.16838647  0.06853484 -0.13576892 -0.13260084 -0.23408487  0.24605045
  0.09659224 -0.45075405 -0.21835944 -0.27160567  0.39934096 -0.35689339
 -0.07780944  0.25279188 -0.05385347  0.26587877 -0.12369661  0.06956427
  0.7658121  -0.4922893   0.0991415   0.41725704 -0.12886587 -0.01215707
 -0.34712151  0.15728118  0.62807     0.11808543  0.20606926 -0.13784097
  0.2378888   0.89223927 -0.29106882  0.01404332 -0.31536362 -0.17578048
  0.27068964  0.07055397 -0.31730571 -0.31877714  0.04005239 -0.05503819
 -0.23303618 -0.09740279  0.01987951  0.12624522 -0.04566494 -0.1974754
  0.03235178  0.10036586  0.25823936  0.12360875  0.57042706 -0.1803387
  0.17036706 -0.25221255 -0.18967777 -0.18448205  0.38871136 -0.35452276
  0.33196974 -0.10053827 -0.47739074  0.03914183  0.11195022 -0.0575547
  0.51026243 -0.24466325  0.23302631  0.4735828  -0.40319726  0.41675603
 -0.58376861 -0.09233559  0.11760953 -0.45388407  0.29658276 -0.01819638
 -0.08744758  0.2147903 ]"
9,<http://dbpedia.org/resource/Backbone>,[]
